"YEAR","DATA_VALUE","LOWER_95_CI","UPPER_95_CI","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
2005,10427,1987,18868,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2006,2667,0,5557,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2007,17614,4909,30318,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2008,9403,2050,16757,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2009,15014,5215,24813,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2010,2423,0,6888,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2011,6477,0,16073,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2012,12137,0,25744,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2013,92,0,273,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2014,13750,0,30351,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2015,2116,0,4393,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2016,12482,0,28897,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2017,14415,345,28485,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2018,3089,673,5505,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2019,6894,624,13165,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2020,4962,1694,8230,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2021,35954,16645,55263,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2022,34258,14182,54335,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2023,48030,20259,75802,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
2024,40688,17402,63975,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUEFIN TUNA","NORTH ATLANTIC"
1981,18463,5544,31382,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1988,2895,0,7343,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1990,333,0,960,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1991,1232,0,3395,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1992,159,0,473,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
1993,17945,4861,31029,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SKIPJACK TUNA","NORTH ATLANTIC"
