"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"SYNODUS SYNODUS","RED LIZARDFISH",438,"REDLIZ",NA,NA,"8762020106",NA,"S",NA,"(LINNAEUS, 1758)","AFS-1991",NA,NA,"Synodus synodus","Red Lizardfish","438",1995-08-09,"BK",NA,NA
"SYRRHOE CRENULATA",NA,NA,NA,"411013001010000","SYRCRE","6169500301",NA,"S",NA,"GOES, 1866",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"SYRRHOE SP",NA,NA,NA,"411013001000000","SYRRSP","61695003",NA,"G",NA,"CHEVREUX, 1908",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TACHYRHYNCHUS EROSUS","ERODED TURRENTSNAIL",NA,NA,"514043201010000","TACERO","5103330101",NA,"S",NA,"(COUTHOUY, 1838)","AFS-1988",NA,"FH-CORRECTED TYPO",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TANAIDAE",NA,NA,NA,"411120200000000","TANFAM","615701",NA,"F",NA,NA,NA,NA,"SINGLE FAMILY IN TANAIDACEA IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TARATICHTHYS LONGIPINNIS","BIGSCALE POMFRET",130,"BIPOMF",NA,NA,"8835710701",NA,NA,NA,NA,"AFS-1991",NA,"|SV|NODC: NAME CHANGE AFS-1980, NODC TO UPDATE GENUS NAME","Taractes longipinnis","Bigscale Pomfret","130",1995-08-09,"BK",NA,NA
"TAUTOGA ONITIS","TAUTOG",177,"TAUTOG","823214111010000","TAUONI","8839010101",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Tautoga onitis","Tautog","177",1995-08-09,"BK",NA,NA
"TAUTOGOLABRUS ADSPERSUS","CUNNER",176,"CUNNER","823214111020000","TAUADS","8839010201",NA,"S",NA,"(WALBAUM)","AFS-1991",NA,NA,"Tautogolabrus adspersus","Cunner","176",1995-08-09,"BK",NA,NA
"TECTONATICA PUSILLA","MINIATURE MOONSNAIL",NA,NA,"514042307020000","TECPUS","5103760601",NA,"S",NA,"(SAY, 1822)","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"TELLINA AGILIS","NORTHERN DWARF-TELLIN",NA,NA,"512082706020000","TELAGI","5515310205",NA,"S",NA,"STIMPSON,1857","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
