"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"GONOSTOMA BATHYPHILUM",NA,233,"GONOBA",NA,NA,"8759010402",NA,"S",NA,NA,"SCOTT&SCOTT-164","GREY 1964 FWNA 4:180, FIG. 41",NA,"Gonostoma bathyphilum","Gonostoma Bathyphilum","233",1995-08-09,"BK",NA,NA
"GONOSTOMA ELONGATUM","LONGTOOTH ANGLEMOUTH",235,"LONGAN",NA,NA,"8759010403",NA,"S",NA,"GUENTHER","SCOTT&SCOTT-165","GREY 1964 FWNA 4:171, FIG. 39",NA,"Gonostoma elongatum","Longtooth Anglemouth","235",1995-08-09,"BK",NA,NA
"GONOSTOMATIDAE","LIGHTFISH UNCL",887,"LIGHTU",NA,NA,"875901",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Gonostomatidae sp","Lightfish Uncl","887",1998-12-31 23:00:00,"FPA",NA,NA
"GORGONOCEPHALUS SP",NA,NA,NA,"613010306000000","GORGSP","81250302",NA,"G",NA,"LEACH, 1815",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GRAMMATIDAE","BASSLET UNCL",618,"BASSLETU",NA,NA,"NONE",NA,NA,NA,NA,"AFS-1991",NA,"|SV: FAMILY REVISION AND NAME CHANGE AFS-90, |NODC: ADD TO LIST","Grammidae sp","Basslet Uncl","618",1998-12-31 23:00:00,"FPA",NA,NA
"GYMNACHIRUS MELAS","NAKED SOLE",796,"NAKEDSOL",NA,NA,"8858010301",NA,"S",NA,"(NICHOLS, 1916)","AFS-1991",NA,NA,"Gymnachirus melas","Naked Sole","796",1995-08-09,"BK",NA,NA
"GYMNOTHORAX MORINGA","SPOTTED MORAY",386,"SPOMORA",NA,NA,"8741050403",NA,"S",NA,"(CUVIER, 1829)","AFS-1991",NA,NA,"Gymnothorax moringa","Spotted Moray","386",1995-08-09,"BK",NA,NA
"GYMNOTHORAX NIGROMARGINATUS","BLACKEDGE MORAY",387,"BLAMORA",NA,NA,"8741050404",NA,"S",NA,"GIRARD, 1859)","AFS-1991",NA,NA,"Gymnothorax nigromarginatus","Blackedge Moray","387",1995-08-09,"BK",NA,NA
"GYMNOTHORAX SAXICOLA","HONEYCOMB MORAY",870,"OCEMORA",NA,NA,"8741050407",NA,"S",NA,"JORDAN AND DAVIS, 1891","AFS-1990-73",NA,"|SV: COMMON NAME CHANGE AFS-1990","Gymnothorax saxicola","Ocellated Moray","870",1995-08-09,"BK",NA,NA
"GYMNURA ALTAVELA","SPINY BUTTERFLY RAY",375,"SPIRAY",NA,NA,"8713050201",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Gymnura altavela","Spiny Butterfly Ray","375",1995-08-09,"BK",NA,NA
"GYMNURA MICRURA","SMOOTH BUTTERFLY RAY",376,"SMORAY",NA,NA,"8713050202",NA,"S",NA,NA,"AFS-1991",NA,NA,"Gymnura micrura","Smooth Butterfly Ray","376",1995-08-09,"BK",NA,NA
"HAEMULIDAE","GRUNT UNCL",630,"GRUNTU",NA,NA,"883540",NA,"F",NA,NA,"AFS-1991",NA,"|SV: FAMILY CHANGED AFS-1980","Pomadasyidae sp","Grunt Uncl","630",1998-12-31 23:00:00,"FPA",NA,NA
"HAEMULON AUROLINEATUM","TOMTATE",627,"TOMTATE",NA,NA,"8835400101",NA,"S",NA,"CUVIER","AFS-1991",NA,NA,"Haemulon aurolineatum","Tomtate","627",1995-08-09,"BK",NA,NA
"HAEMULON CARBONARIUM","CAESAR GRUNT",628,"CAGRUNT",NA,NA,"8835400106",NA,"S",NA,"POEY","AFS-1991",NA,NA,"Haemulon carbonarium","Caesar Grunt","628",1995-08-09,"BK",NA,NA
"HAEMULON PLUMIERI","WHITE GRUNT",629,"WHGRUNT",NA,NA,"8835400102",NA,"S",NA,"(LACEPEDE)","AFS-1991",NA,NA,"Haemulon plumieri","White Grunt","629",1995-08-09,"BK",NA,NA
"HAEMULON STRIATUM","STRIPED GRUNT",878,"STGRUNT",NA,NA,"8835400116",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Haemulon striatum","Striped Grunt","878",1995-08-09,"BK",NA,NA
"HALACARIDAE","MITE UNCL",NA,NA,"413010100000000","HALFAM","593001",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HALECIUM SP",NA,NA,NA,"051010801000000","HALESP","37040601",NA,"G",NA,"OKEN,1815","AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HALICHOERES BATHYPHILUS","GREENBAND WRASSE",676,"GRWRAS",NA,NA,"8839010701",NA,"S",NA,"(BEEBE AND TEE-VAN)","AFS-1991",NA,NA,"Halichoeres bathyphilus","Greenband Wrasse","676",1995-08-09,"BK",NA,NA
"HALICHOERES BIVITTATUS","SLIPPERY DICK",677,"SLIPDICK",NA,NA,"8839010702",NA,"S",NA,"(BLOCH)","AFS-1991",NA,NA,"Halichoeres bivittatus","Slippery Dick","677",1995-08-09,"BK",NA,NA
"HALICHOERES CAUDALIS","PAINTED WRASSE",678,"PAIWRAS",NA,NA,"8839010703",NA,"S",NA,"(POEY)","AFS-1991",NA,NA,"Halichoeres caudalis","Painted Wrasse","678",1995-08-09,"BK",NA,NA
"HALICHOERES POEYI","BLACKEAR WRASSE",679,"BLAWRAS",NA,NA,"8839010708",NA,"S",NA,"(STEINDACHNER)","AFS-1991",NA,NA,"Halichoeres poeyi","Blackear Wrasse","679",1995-08-09,"BK",NA,NA
"HALICHOERES RADIATUS","PUDDINGWIFE",680,"PUDDING",NA,NA,"8839010709",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Halichoeres radiatus","Puddingwife","680",1995-08-09,"BK",NA,NA
"HALIEUTICHTHYS ACULEATUS","PANCAKE BATFISH",449,"PANBAT",NA,NA,"8787040301",NA,"S",NA,"MITCHILL","AFS-1991",NA,NA,"Halieutichthys aculeatus","Pancake Batfish","449",1995-08-09,"BK",NA,NA
"HAMINOEA SP",NA,NA,NA,"514050301000000","HAMISP","51101201",NA,"G",NA,"TURTON AND KINGSTON,1830","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HAPLOOPS SETOSA",NA,NA,NA,"411010203020000","HAPSET","6169020305",NA,"S",NA,"SARS, 1895",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HAPLOOPS SP",NA,NA,NA,"411010203000000","HAPLSP","61690203",NA,"G",NA,"LILJEBORG, 1856",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HAPLOOPS TUBICOLA",NA,NA,NA,"411010203010000","HAPTUB","6169020301",NA,"S",NA,"LILJEBORG, 1856",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HARENGULA JAGUANA","SCALED SARDINE",875,"SCASARD",NA,NA,"8747010803",NA,"S",NA,"POEY, 1865","AFS-1991",NA,"|SV: NAME CHANGE AFS-1980","Harengula pensacolae","Scaled Sardine","875",1995-08-09,"BK",NA,NA
"HARMOTHOE EXTENUATA",NA,NA,NA,"214112009040000","HAREXT","5001020803",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HARMOTHOE IMBRICATA",NA,NA,NA,"214112009060000","HARIMB","5001020806",NA,"S",NA,"(LINNAEUS, 1769)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HARMOTHOE SP",NA,NA,NA,"214112009000000","HARMSP","50010208",NA,"G",NA,"KINBERG,1855",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HARPACTICIDAE",NA,NA,NA,"411080500000000","HARFAM","611910",NA,"F",NA,"ITO (TATSUNORI), 1984",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HARPACTICOIDA","HARPACTICOID COPEPOD UNCL",NA,NA,"411080000030000","HARPAC","6119",NA,"O",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HARPINIA PLUMOSA",NA,NA,NA,"411012401010000","HARPLU","NONE",NA,NA,NA,NA,NA,NA,"NODC TO ADD TO LIST",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HARPINIA PROPINQUA",NA,NA,NA,"411012401020000","HARPRO","6169420116",NA,"S",NA,"SARS, 1895",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HARPINIA SP",NA,NA,NA,"411012401000000","HARPSP","61694201",NA,"G",NA,"BOECK, 1871",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HAUSTORIIDAE",NA,NA,NA,"411011300000000","HAUFAM","616922",NA,"F",NA,"SCHELL, 1938",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HAVELOCKIA SCABRA",NA,NA,NA,"615030202010000","HAVSCA","8172040201",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HELICOLENUS DACTYLOPTERUS","BLACKBELLY ROSEFISH",156,"ROSE","823216701010000","HELDAC","8826010301",NA,"S",NA,"(DE LA ROCHE)","AFS-1991",NA,NA,"Helicolenus dactylopterus","Blackbelly Rosefish","156",1995-08-09,"BK",NA,NA
"HELICOLENUS MADERENSIS",NA,157,"--DNU--",NA,NA,"8826010302",NA,NA,NA,NA,NA,NA,"|SV: UNKNOWN DROP FROM LIST CHECK LOGS AND RECODE, SP PRESENT IN NODC LIST","Helicolenus maderensis. . . . dnu","Helicolenus Maderensis","157",1995-08-09,"BK",NA,NA
"HEMANTHIAS AUREORUBENS","STREAMER BASS",546,"MERBAS",NA,NA,"8835021204",NA,"S",NA,NA,"AFS-1991",NA,"|SV: NAME CHANGED AFS-1980","Pronotogrammus aureorubens","Streamer Bass","546",1995-08-09,"BK",NA,NA
"HEMANTHIAS VIVANUS","RED BARBIER",539,"BARBIER",NA,NA,"8835021202",NA,"S",NA,"JORDAN SWAIN","AFS-1991",NA,NA,"Hemanthias vivanus","Red Barbier","539",1995-08-09,"BK",NA,NA
"HEMIARTHRUS SP",NA,NA,NA,"411030305000000","HEMISP","61650401",NA,"G",NA,NA,NA,NA,"|FH: CORRECTED SPELLING",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HEMICARANX AMBLYRHYNCHUS","BLUNTNOSE JACK",575,"BLUJACK",NA,NA,"8835281401",NA,"S",NA,"(CUVIER)","AFS-1991",NA,NA,"Hemicaranx amblyrhynchus","Bluntnose Jack","575",1995-08-09,"BK",NA,NA
"HEMICHORDATA","ACORN WORM AND PTEROBRANCH UNCL",NA,NA,"800000000000000","HEMICH","82",NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HEMIPTERONOTUS NOVACULA","PEARLY RAZORFISH",681,"RAZOR","823214105010000","HEMNOV","8839010802",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,"|FH: CORRECTED TYPO IN GENUS","Hemipteronotus novacula","Pearly Razorfish","681",1994-12-27 23:00:00,"RAR",NA,NA
"HEMIRAMPHUS BRASILIENSIS","BALLYHOO",468,"BALLY",NA,NA,"8803010201",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Hemiramphus brasiliensis","Ballyhoo","468",1995-08-09,"BK",NA,NA
"HEMITRIPTERUS AMERICANUS","SEA RAVEN",164,"SEARAVEN","823212316010000","HEMAME","8831021503",NA,"S",NA,"(GMELIN)","AFS-1991",NA,NA,"Hemitripterus americanus","Sea Raven","164",1995-08-09,"BK",NA,NA
"HEPATUS EPHELITICUS","CALICO BOX CRAB",327,NA,"411020203010000","HEPEPH","6186020201",NA,"S",NA,"(LINNAEUS, 1763)","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HESIONIDAE",NA,NA,NA,"214110900000000","HESFAM","500121",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HETEROCRYPTA GRANULATA","SMOOTH ELBOW CRAB",NA,NA,"411022501010000","HETGRA","6187020801",NA,"S",NA,"(GIBBES, 1850)","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"HETEROMYSIS FORMOSA",NA,NA,NA,"411060306010000","HETFOR","6153010802",NA,"S",NA,"SMITH",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"FLABELLIGELLA SP",NA,NA,NA,"214150102000000","FLABSP","50015103",NA,"G",NA,"HARTMAN, 1965",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"FLABELLIGERIDAE",NA,NA,NA,"214070100000000","FLAFAM","500154",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"FOETOREPUS AGASSIZI","SPOTFIN DRAGONET",735,"DRAGONET","823218501020000","FOEAGA","8846010801",NA,NA,NA,NA,"AFS-1991",NA,"|SV: TAXON AND NAME CHANGES AFS-1990, NODC ERROR FOR GENUS","Callionymus agassizi","Spotfin Dragonet","735",1999-12-07 23:00:00,"FPA",1995-08-09,NA
"FORAMINIFERIDA","FORAMINIFERAN UNCL",NA,NA,"013040000000000","FORAMI","3448",NA,"O",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"FUNDULUS HETEROCLITUS","MUMMICHOG",473,"MUMMI",NA,NA,"8804040203",NA,"S",NA,"LINNAEUS","AFS-1991",NA,"|SV: ID SUSPECT","Fundulus heteroclitus","Mummichog","473",1995-08-09,"BK",NA,NA
"FUNDULUS MAJALIS","STRIPED KILLIFISH",474,"KILLIF",NA,NA,"8804040205",NA,"S",NA,"(WALBAUM, 1792)","AFS-1991",NA,"|SV: ID SUSPECT CHECK LOG","Fundulus majalis","Striped Killifish","474",1995-08-09,"BK",NA,NA
"GADELLA IMBERBIS","BEARDLESS CODLING",70,"URALEP",NA,NA,"8791031201",NA,NA,NA,NA,"Cohen et al 1990","COHEN ET AL 1980 10:358, FIG 777","NODC AS BROSMICULUS IMBERBIS","Uraleptus maraldi","Uraleptus Maraldi","070",1999-03-08 14:27:54,"JM",NA,NA
"GADIDAE","HAKE UNCL",80,"--DNU--","823130200000000","GADFAM","879103",NA,"F",NA,NA,"AFS-1991",NA,"SV TO CHECK AND RECODE IF POSSIBLE","Hake uncl. . . . . . . . . . .dnu","Hake Uncl","080",1998-12-31 23:00:00,"FPA",NA,NA
"GADIDAE OTOLITHS","GADID OTOLITHS",NA,NA,"823130200000001","GADOTO","NONE",NA,NA,NA,NA,"AFS-1991",NA,"SPECIAL FCDI CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GADIFORMES",NA,NA,NA,"823130000000000","GADORD","8789",NA,"O",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GADUS MORHUA","ATLANTIC COD",73,"COD","823130206020000","GADMOR","8791030402",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Gadus morhua","Atlantic Cod","073",1995-08-09,"BK",NA,NA
"GAIDROPSARUS ENSIS","THREEBEARD ROCKLING",85,"3BEARD",NA,NA,"8791032005",NA,"S",NA,"(REINHARDT)","SCOTT & SCOTT-272",NA,NA,"Gaidropsarus ensis","Threebeard Rockling","085",1995-08-09,"BK",NA,NA
"GALATHEIDAE","GALATHEID UNCL",319,"GALATH","411020900000000","GALFAM","618310",NA,"F",NA,NA,"AFS-1989",NA,"|SV: CORRECTED TO AFS-1989 STANDARD","Galatheid sp","Galatheid Sp","319",1998-12-31 23:00:00,"FPA",NA,NA
"GALEOCERDO CUVIER","TIGER SHARK",358,"TIGERSH",NA,NA,"8708020201",NA,"S",NA,"(PERON AND LESUEUR, 1822)","AFS-1991",NA,"|SV: SPELLING CHANGE AFS-90","Galeocerdo cuvieri","Tiger Shark","358",1995-08-09,"BK",NA,NA
"GAMMARELLUS SP",NA,NA,NA,"411011202000000","GAMMSP","61692106",NA,"G",NA,"HERBST, 1793",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GAMMARIDEA","GAMMARID UNCL",NA,NA,"411010000020000","GAMMAR","6169",NA,NA,NA,NA,NA,NA,"LOST IDS TO FAMILY GAMMARIDAE 1973-90",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GAMMAROPSIS SP",NA,NA,NA,"411011203000000","GAMMS1","61692604",NA,"G",NA,"LILJEBORG, 1855",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GAMMARUS ANNULATUS",NA,NA,NA,"411011204010000","GAMANN","6169210710",NA,"S",NA,"SMITH, 1873",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GAMMARUS LAWRENCIANUS",NA,NA,NA,"411011204040000","GAMLAW","6169210713",NA,"S",NA,"BOUSFIELD, 1956",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GAMMARUS MUCRONATUS",NA,NA,NA,"411011204090000","GAMMUC","6169210709",NA,"S",NA,"SAY, 1818",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GAMMARUS SP",NA,NA,NA,"411011204000000","GAMMS2","61692107",NA,"G",NA,"J. C. FABRICIUS, 1775",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GASTEROSTEIDAE","STICKLEBACK UNCL",NA,NA,"823140500000000","GASFAM","881801",NA,"F",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GASTEROSTEUS ACULEATUS","THREESPINE STICKLEBACK",115,"3STICKL","823140505010000","GASACU","8818010101",NA,"S",NA,"LINNAEUS, 1758","AFS-1991",NA,NA,"Gasterosteus aculeatus","Threespine Stickleback","115",1995-08-09,"BK",NA,NA
"GASTEROSTEUS WHEATLANDI","BLACKSPOTTED STICKLEBACK",901,NA,NA,NA,"8818010102",NA,"S",NA,"PUTNAM","AFS-1991",NA,NA,"Gasterosteus wheatlandi","Blackspotted Stickleback","901",1995-08-09,"BK",NA,NA
"GASTROPODA","SNAIL UNCL",NA,NA,"514000000000000","GASTRO","51",NA,"C",NA,"CUVIER,1797","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GASTROPODA EGGS","GASTROPOD EGGS",NA,NA,"514000000000100","GASEGG","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"GASTROPODA OPERCULUM","GASTROPOD OPERCULUM",NA,NA,"514000000000003","GASOPE","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MONOCULODES EDWARDSI",NA,NA,NA,"411012001010000","MONEDW","6169370820",NA,"S",NA,"HOLMES, 1905",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MONOCULODES INTERMEDIUS",NA,NA,NA,"411012001060000","MONINT","6169370817",NA,"S",NA,"SHOEMAKER, 1930",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MONOCULODES SP",NA,NA,NA,"411012001000000","MONOSP","61693708",NA,"G",NA,"STIMPSON, 1853",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MONOCULODES TESSELATUS",NA,NA,NA,"411012001030000","MONTES","6169370821",NA,"S",NA,"SCHNEIDER, 1884",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MONOLENE SESSILICAUDA","DEEPWATER FLOUNDER",110,"DEEPFL",NA,NA,"8857031204",NA,"S",NA,"GOODE","AFS-1991",NA,NA,"Monolene sessilicauda","Deepwater Flounder","110",1995-08-09,"BK",NA,NA
"MOOREONUPHIS NEBULOSA",NA,NA,NA,"214050907010000","MOONEB","5001291401",NA,"S",NA,NA,"FAUCHALD",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MORIDAE","MORA UNCL",88,NA,NA,NA,"879101",NA,"F",NA,NA,"AFS-1991",NA,"|SV: CHANGED DUE TO AFS-1990 REVISIONS","Moridae sp","Mora Uncl","088",1998-12-31 23:00:00,"FPA",NA,NA
"MORONE AMERICANA","WHITE PERCH",140,"WHPERCH","823216901020000",NA,"8835020101",NA,"S",NA,"(GMELIN)","AFS-1991",NA,NA,"Morone americana","White Perch","140",1995-08-09,"BK",NA,NA
"MORONE SAXATILIS","STRIPED BASS",139,"STRBAS","823216901010000",NA,"8835020102",NA,"S",NA,"WALBAUM","AFS-1991",NA,NA,"Morone saxatilis","Striped Bass","139",1995-08-09,"BK",NA,NA
"MUCRONELLIDAE",NA,NA,NA,"701011800000000","MUCFAM","781613",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUGIL CEPHALUS","STRIPED MULLET",689,"STRMULL",NA,NA,"8836010101",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Mugil cephalus","Striped Mullet","689",1995-08-09,"BK",NA,NA
"MUGIL CUREMA","WHITE MULLET",690,"WHIMULL","823214601020000","MUGCIL","8836010102",NA,"S",NA,"VALENCIENNES, 1836","AFS-1991",NA,NA,"Mugil curema","White Mullet","690",1995-08-09,"BK",NA,NA
"MUGIL GYRANS","FANTAIL MULLET",692,"FANMULL",NA,NA,"8836010117",NA,"S",NA,"(JORDAN AND GILBERT, 1884)","AFS-1991",NA,"|SV: NAME CHANGE AFS-1990","Mugil trichodon","Fantail Mullet","692",1995-08-09,"BK",NA,NA
"MUGIL LIZA","LIZA",691,"LIZA",NA,NA,"8836010104",NA,"S",NA,"VALENCIENNES","AFS-1991",NA,NA,"Mugil liza","Liza","691",1995-08-09,"BK",NA,NA
"MUGILIDAE","MULLET UNCL",NA,NA,"823214600000000","MUGFAM","883601",NA,"F",NA,NA,"AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MULINIA LATERALIS","DWARF SURFCLAM",NA,NA,"512081903010000","MULLAT","5515250301",NA,"S",NA,"(SAY,1822)","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MULLUS AURATUS","RED GOATFISH",187,"REDGOAT",NA,NA,"8835450201",NA,"S",NA,"JORDAN AND GILBERT","AFS-1991",NA,NA,"Mullus auratus","Red Goatfish","187",1995-08-09,"BK",NA,NA
"MUNIDA IRIS",NA,NA,NA,"411020901010000","MUNIRI","6183100102",NA,"S",NA,"A. MILNE EDWARDS, 1880","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUNIDA IRRASA",NA,NA,NA,"411020901020000","MUNIRR","6183100108",NA,"S",NA,"A. MILNE EDWARDS, 1880","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUNIDA SP",NA,NA,NA,"411020901000000","MUNISP","61831001",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUNIDA VALIDA",NA,NA,NA,"411020901030000","MUNVAL","6183100120",NA,"S",NA,"SMITH, 1883","AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUNIDOPSIS SP",NA,NA,NA,"411020902000000","MUNIS1","61831002",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUNNA SP",NA,NA,NA,"411031301000000","MUNNSP","61631201",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUNNOPSIDAE",NA,NA,NA,"411031000000000","MUNFAM","616317",NA,"F",NA,"SARS, 1869",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUNNOPSIS TYPICA",NA,NA,NA,"411031001010000","MUNTYP","6163170101",NA,"S",NA,"G. O. SARS, 1861",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MURAENIDAE","MORAY UNCL",388,"MORAYU","823030500000000","MURFAM","874105",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Muraenidae sp","Moray Uncl","388",1998-12-31 23:00:00,"FPA",NA,NA
"MUSCULUS NIGER","BLACK MUSSEL",NA,NA,"512030113040000","MUSNIG","5507010401",NA,"S",NA,"(J.E. GRAY,1824)","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUSCULUS SP",NA,NA,NA,"512030113000000","MUSCSP","55070104",NA,"G",NA,"RODING,1798","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MUSTELUS CANIS","SMOOTH DOGFISH",13,"SMDOG","822030305020000","MUSCAN","8708020401",NA,"S",NA,"(MITCHELL, 1815)","AFS-1991",NA,NA,"Mustelus canis","Smooth Dogfish","013",1995-08-09,"BK",NA,NA
"MUSTELUS NORRISI","FLORIDA SMOOTHHOUND",935,"FLOSM",NA,NA,"8708020403",NA,"S",NA,"SPRINGER, 1940","AFS-1991",NA,"|SV: CHECK LOGS, NOT FOUND N. OF FL, VERY UNLIKELY","Mustelus norrisi","Florida Smoothhound","935",1995-08-09,"BK",NA,NA
"MYCTEROPERCA BONACI","BLACK GROUPER",540,"BLAGROUP",NA,NA,"8835020502",NA,"S",NA,"POEY","AFS-1991",NA,NA,"Mycteroperca bonaci","Black Grouper","540",1995-08-09,"BK",NA,NA
"MYCTEROPERCA INTERSTITIALIS","YELLOWMOUTH GROUPER",524,"MOUGROUP",NA,NA,"8835020504",NA,"S",NA,"POEY","AFS-1991",NA,NA,"Mycteroperca interstitialis","Yellowmouth Grouper","524",1995-08-09,"BK",NA,NA
"MYCTEROPERCA MICROLEPIS","GAG",541,"GAG",NA,NA,"8835020501",NA,"S",NA,"GOODE BEAN","AFS-1991",NA,NA,"Mycteroperca microlepis","Gag","541",1995-08-09,"BK",NA,NA
"MYCTEROPERCA PHENAX","SCAMP",542,"SCAMP",NA,NA,"8835020505",NA,"S",NA,"JORDAN SWAIN","AFS-1991",NA,NA,"Mycteroperca phenax","Scamp","542",1995-08-09,"BK",NA,NA
"MYCTEROPERCA VENENOSA","YELLOWFIN GROUPER",543,"FINGROUP",NA,NA,"8835020506",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Mycteroperca venenosa","Yellowfin Grouper","543",1995-08-09,"BK",NA,NA
"LAMPANYCTUS SP","MADEIRA LANTERNFISH",52,"--DNU--","823180500000000","MYCFAM","876214",NA,"F",NA,NA,"AFS-1991",NA,"|SV: LUMPED ALL SPP INTO FAMILY, DIFFICULT TO ID, SV CHECK & CHANGE TO 056","Lampanyctus sp","Madeira Lanternfish","052",1995-08-09,"BK",NA,NA
