"","Time","Value","Var","Units","Species"
"31",2008,197,"total_recreational_catch_n","n","BLACKTIP SHARK"
"32",1981,5347,"total_recreational_catch_n","n","BLUE SHARK"
"33",1983,14527,"total_recreational_catch_n","n","BLUE SHARK"
"34",1984,615,"total_recreational_catch_n","n","BLUE SHARK"
"35",1985,12082,"total_recreational_catch_n","n","BLUE SHARK"
"36",1986,22094,"total_recreational_catch_n","n","BLUE SHARK"
"37",1987,39717,"total_recreational_catch_n","n","BLUE SHARK"
"38",1988,13120,"total_recreational_catch_n","n","BLUE SHARK"
"39",1989,7314,"total_recreational_catch_n","n","BLUE SHARK"
"40",1990,1460,"total_recreational_catch_n","n","BLUE SHARK"
"41",1991,1991,"total_recreational_catch_n","n","BLUE SHARK"
"42",1992,9038,"total_recreational_catch_n","n","BLUE SHARK"
"43",1993,8766,"total_recreational_catch_n","n","BLUE SHARK"
"44",1994,1268,"total_recreational_catch_n","n","BLUE SHARK"
"45",1995,285,"total_recreational_catch_n","n","BLUE SHARK"
"46",1996,27682,"total_recreational_catch_n","n","BLUE SHARK"
"47",1997,15899,"total_recreational_catch_n","n","BLUE SHARK"
"48",1998,10790,"total_recreational_catch_n","n","BLUE SHARK"
"49",1999,14495,"total_recreational_catch_n","n","BLUE SHARK"
"50",2000,10762,"total_recreational_catch_n","n","BLUE SHARK"
"51",2001,1589,"total_recreational_catch_n","n","BLUE SHARK"
"52",2003,1084,"total_recreational_catch_n","n","BLUE SHARK"
"53",2005,176,"total_recreational_catch_n","n","BLUE SHARK"
"54",2006,569,"total_recreational_catch_n","n","BLUE SHARK"
"55",2007,2350,"total_recreational_catch_n","n","BLUE SHARK"
"56",2008,228,"total_recreational_catch_n","n","BLUE SHARK"
"57",2010,1441,"total_recreational_catch_n","n","BLUE SHARK"
"58",2013,4106,"total_recreational_catch_n","n","BLUE SHARK"
"59",2014,3639,"total_recreational_catch_n","n","BLUE SHARK"
"60",2015,34363,"total_recreational_catch_n","n","BLUE SHARK"
"61",2017,179,"total_recreational_catch_n","n","BLUE SHARK"
"62",2018,3368,"total_recreational_catch_n","n","BLUE SHARK"
"63",2019,14,"total_recreational_catch_n","n","BLUE SHARK"
"64",2021,108,"total_recreational_catch_n","n","BLUE SHARK"
"65",2023,24,"total_recreational_catch_n","n","BLUE SHARK"
"66",1981,156,"total_recreational_catch_n","n","BULL SHARK"
"67",1982,5828,"total_recreational_catch_n","n","BULL SHARK"
"68",1992,5034,"total_recreational_catch_n","n","BULL SHARK"
"69",2011,2123,"total_recreational_catch_n","n","BULL SHARK"
"70",2013,140,"total_recreational_catch_n","n","BULL SHARK"
"71",2017,3750,"total_recreational_catch_n","n","BULL SHARK"
"72",1981,3673,"total_recreational_catch_n","n","DUSKY SHARK"
"73",1982,10743,"total_recreational_catch_n","n","DUSKY SHARK"
"74",1983,3738,"total_recreational_catch_n","n","DUSKY SHARK"
"75",1984,20986,"total_recreational_catch_n","n","DUSKY SHARK"
"76",1985,14440,"total_recreational_catch_n","n","DUSKY SHARK"
"77",1986,15691,"total_recreational_catch_n","n","DUSKY SHARK"
"78",1987,11889,"total_recreational_catch_n","n","DUSKY SHARK"
"79",1988,17521,"total_recreational_catch_n","n","DUSKY SHARK"
"80",1989,11052,"total_recreational_catch_n","n","DUSKY SHARK"
"81",1990,6483,"total_recreational_catch_n","n","DUSKY SHARK"
"82",1991,3872,"total_recreational_catch_n","n","DUSKY SHARK"
"83",1992,6385,"total_recreational_catch_n","n","DUSKY SHARK"
"84",1994,6781,"total_recreational_catch_n","n","DUSKY SHARK"
"85",1995,8614,"total_recreational_catch_n","n","DUSKY SHARK"
"86",1996,1147,"total_recreational_catch_n","n","DUSKY SHARK"
"87",1997,8266,"total_recreational_catch_n","n","DUSKY SHARK"
"88",1998,3831,"total_recreational_catch_n","n","DUSKY SHARK"
"89",1999,19373,"total_recreational_catch_n","n","DUSKY SHARK"
"90",2001,6492,"total_recreational_catch_n","n","DUSKY SHARK"
"91",2002,3945,"total_recreational_catch_n","n","DUSKY SHARK"
"92",2003,2798,"total_recreational_catch_n","n","DUSKY SHARK"
"93",2005,5857,"total_recreational_catch_n","n","DUSKY SHARK"
"94",2008,5710,"total_recreational_catch_n","n","DUSKY SHARK"
"95",2023,171,"total_recreational_catch_n","n","DUSKY SHARK"
"96",1986,21211,"total_recreational_catch_n","n","FINETOOTH SHARK"
"97",1988,58781,"total_recreational_catch_n","n","FINETOOTH SHARK"
"98",1982,30,"total_recreational_catch_n","n","GREAT HAMMERHEAD"
"99",1986,74,"total_recreational_catch_n","n","GREAT HAMMERHEAD"
"100",1989,2934,"total_recreational_catch_n","n","GREAT HAMMERHEAD"
"101",1994,3534,"total_recreational_catch_n","n","GREAT HAMMERHEAD"
"102",1981,851,"total_recreational_catch_n","n","LEMON SHARK"
"103",1987,1038,"total_recreational_catch_n","n","LEMON SHARK"
"104",1986,1363,"total_recreational_catch_n","n","NURSE SHARK"
"105",1987,640,"total_recreational_catch_n","n","NURSE SHARK"
"106",1989,18,"total_recreational_catch_n","n","OCEANIC WHITETIP SHARK"
"107",1994,301,"total_recreational_catch_n","n","PORBEAGLE"
"108",2011,32,"total_recreational_catch_n","n","PORBEAGLE"
"109",2017,358,"total_recreational_catch_n","n","PORBEAGLE"
"110",2019,37,"total_recreational_catch_n","n","PORBEAGLE"
"111",2020,460,"total_recreational_catch_n","n","PORBEAGLE"
"112",2021,174,"total_recreational_catch_n","n","PORBEAGLE"
"113",2023,186,"total_recreational_catch_n","n","PORBEAGLE"
"114",2024,214,"total_recreational_catch_n","n","PORBEAGLE"
"115",1981,25029,"total_recreational_catch_n","n","SAND TIGER"
"116",1982,47680,"total_recreational_catch_n","n","SAND TIGER"
"117",1983,93911,"total_recreational_catch_n","n","SAND TIGER"
"118",1984,658,"total_recreational_catch_n","n","SAND TIGER"
"119",1985,15454,"total_recreational_catch_n","n","SAND TIGER"
"120",1986,1771,"total_recreational_catch_n","n","SAND TIGER"
"121",1987,15147,"total_recreational_catch_n","n","SAND TIGER"
"122",1988,938,"total_recreational_catch_n","n","SAND TIGER"
"123",1989,1315,"total_recreational_catch_n","n","SAND TIGER"
"124",1993,3232,"total_recreational_catch_n","n","SAND TIGER"
"125",1995,628,"total_recreational_catch_n","n","SAND TIGER"
"126",1996,200,"total_recreational_catch_n","n","SAND TIGER"
"127",1997,1402,"total_recreational_catch_n","n","SAND TIGER"
"128",2018,3204,"total_recreational_catch_n","n","SAND TIGER"
"129",1981,25006,"total_recreational_catch_n","n","SANDBAR SHARK"
"130",1982,20049,"total_recreational_catch_n","n","SANDBAR SHARK"
"131",1983,197617,"total_recreational_catch_n","n","SANDBAR SHARK"
"132",1984,9893,"total_recreational_catch_n","n","SANDBAR SHARK"
"133",1985,35552,"total_recreational_catch_n","n","SANDBAR SHARK"
"134",1986,101968,"total_recreational_catch_n","n","SANDBAR SHARK"
"135",1987,8379,"total_recreational_catch_n","n","SANDBAR SHARK"
"136",1988,25522,"total_recreational_catch_n","n","SANDBAR SHARK"
"137",1989,5316,"total_recreational_catch_n","n","SANDBAR SHARK"
"138",1990,25509,"total_recreational_catch_n","n","SANDBAR SHARK"
"139",1991,15117,"total_recreational_catch_n","n","SANDBAR SHARK"
"140",1992,64203,"total_recreational_catch_n","n","SANDBAR SHARK"
"141",1993,22257,"total_recreational_catch_n","n","SANDBAR SHARK"
"142",1994,12274,"total_recreational_catch_n","n","SANDBAR SHARK"
"143",1995,22693,"total_recreational_catch_n","n","SANDBAR SHARK"
"144",1996,12931,"total_recreational_catch_n","n","SANDBAR SHARK"
"145",1997,27334,"total_recreational_catch_n","n","SANDBAR SHARK"
"146",1998,28829,"total_recreational_catch_n","n","SANDBAR SHARK"
"147",1999,18031,"total_recreational_catch_n","n","SANDBAR SHARK"
"148",2000,13155,"total_recreational_catch_n","n","SANDBAR SHARK"
"149",2001,34032,"total_recreational_catch_n","n","SANDBAR SHARK"
"150",2002,9922,"total_recreational_catch_n","n","SANDBAR SHARK"
"151",2003,4236,"total_recreational_catch_n","n","SANDBAR SHARK"
"152",2004,2733,"total_recreational_catch_n","n","SANDBAR SHARK"
"153",2005,999,"total_recreational_catch_n","n","SANDBAR SHARK"
"154",2006,7,"total_recreational_catch_n","n","SANDBAR SHARK"
"155",2007,3138,"total_recreational_catch_n","n","SANDBAR SHARK"
"156",2008,4838,"total_recreational_catch_n","n","SANDBAR SHARK"
"157",2009,14697,"total_recreational_catch_n","n","SANDBAR SHARK"
"158",2010,3735,"total_recreational_catch_n","n","SANDBAR SHARK"
"159",2012,998,"total_recreational_catch_n","n","SANDBAR SHARK"
"160",2013,810,"total_recreational_catch_n","n","SANDBAR SHARK"
"161",2014,992,"total_recreational_catch_n","n","SANDBAR SHARK"
"162",2017,1907,"total_recreational_catch_n","n","SANDBAR SHARK"
"163",2019,792,"total_recreational_catch_n","n","SANDBAR SHARK"
"164",2020,237,"total_recreational_catch_n","n","SANDBAR SHARK"
"165",2009,12,"total_recreational_catch_n","n","SCALLOPED HAMMERHEAD SHARK"
"166",1981,10920,"total_recreational_catch_n","n","SHORTFIN MAKO"
"167",1982,17981,"total_recreational_catch_n","n","SHORTFIN MAKO"
"168",1983,10685,"total_recreational_catch_n","n","SHORTFIN MAKO"
"169",1984,48135,"total_recreational_catch_n","n","SHORTFIN MAKO"
"170",1985,30865,"total_recreational_catch_n","n","SHORTFIN MAKO"
"171",1986,32153,"total_recreational_catch_n","n","SHORTFIN MAKO"
"172",1987,39021,"total_recreational_catch_n","n","SHORTFIN MAKO"
"173",1988,22940,"total_recreational_catch_n","n","SHORTFIN MAKO"
"174",1989,11329,"total_recreational_catch_n","n","SHORTFIN MAKO"
"175",1990,8798,"total_recreational_catch_n","n","SHORTFIN MAKO"
"176",1991,2651,"total_recreational_catch_n","n","SHORTFIN MAKO"
"177",1992,14089,"total_recreational_catch_n","n","SHORTFIN MAKO"
"178",1993,24951,"total_recreational_catch_n","n","SHORTFIN MAKO"
"179",1994,5457,"total_recreational_catch_n","n","SHORTFIN MAKO"
"180",1995,44377,"total_recreational_catch_n","n","SHORTFIN MAKO"
"181",1996,15507,"total_recreational_catch_n","n","SHORTFIN MAKO"
"182",1997,4493,"total_recreational_catch_n","n","SHORTFIN MAKO"
"183",1998,12569,"total_recreational_catch_n","n","SHORTFIN MAKO"
"184",1999,2478,"total_recreational_catch_n","n","SHORTFIN MAKO"
"185",2000,17457,"total_recreational_catch_n","n","SHORTFIN MAKO"
"186",2001,4767,"total_recreational_catch_n","n","SHORTFIN MAKO"
"187",2002,8945,"total_recreational_catch_n","n","SHORTFIN MAKO"
"188",2003,9773,"total_recreational_catch_n","n","SHORTFIN MAKO"
"189",2004,6826,"total_recreational_catch_n","n","SHORTFIN MAKO"
"190",2005,5102,"total_recreational_catch_n","n","SHORTFIN MAKO"
"191",2006,12460,"total_recreational_catch_n","n","SHORTFIN MAKO"
"192",2007,1827,"total_recreational_catch_n","n","SHORTFIN MAKO"
"193",2008,1061,"total_recreational_catch_n","n","SHORTFIN MAKO"
"194",2009,6480,"total_recreational_catch_n","n","SHORTFIN MAKO"
"195",2010,6327,"total_recreational_catch_n","n","SHORTFIN MAKO"
"196",2011,174,"total_recreational_catch_n","n","SHORTFIN MAKO"
"197",2012,760,"total_recreational_catch_n","n","SHORTFIN MAKO"
"198",2013,14831,"total_recreational_catch_n","n","SHORTFIN MAKO"
"199",2014,42840,"total_recreational_catch_n","n","SHORTFIN MAKO"
"200",2015,32733,"total_recreational_catch_n","n","SHORTFIN MAKO"
"201",2016,25882,"total_recreational_catch_n","n","SHORTFIN MAKO"
"202",2017,46373,"total_recreational_catch_n","n","SHORTFIN MAKO"
"203",2018,1057,"total_recreational_catch_n","n","SHORTFIN MAKO"
"204",2019,3295,"total_recreational_catch_n","n","SHORTFIN MAKO"
"205",2020,4764,"total_recreational_catch_n","n","SHORTFIN MAKO"
"206",2021,448,"total_recreational_catch_n","n","SHORTFIN MAKO"
"207",2022,327,"total_recreational_catch_n","n","SHORTFIN MAKO"
"208",1989,10581,"total_recreational_catch_n","n","SILKY SHARK"
"209",1983,455,"total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"210",1986,1893,"total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"211",1987,942,"total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"212",1989,2245,"total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"213",1990,501,"total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"214",1991,5,"total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"215",2013,1678,"total_recreational_catch_n","n","SMOOTH HAMMERHEAD"
"216",2021,7,"total_recreational_catch_n","n","SPINNER SHARK"
"217",1985,506,"total_recreational_catch_n","n","THRESHER SHARK"
"218",1986,2916,"total_recreational_catch_n","n","THRESHER SHARK"
"219",1987,1755,"total_recreational_catch_n","n","THRESHER SHARK"
"220",1988,89,"total_recreational_catch_n","n","THRESHER SHARK"
"221",1989,5559,"total_recreational_catch_n","n","THRESHER SHARK"
"222",1990,982,"total_recreational_catch_n","n","THRESHER SHARK"
"223",1992,627,"total_recreational_catch_n","n","THRESHER SHARK"
"224",1994,2217,"total_recreational_catch_n","n","THRESHER SHARK"
"225",1995,118,"total_recreational_catch_n","n","THRESHER SHARK"
"226",1996,2772,"total_recreational_catch_n","n","THRESHER SHARK"
"227",1997,3677,"total_recreational_catch_n","n","THRESHER SHARK"
"228",1999,10313,"total_recreational_catch_n","n","THRESHER SHARK"
"229",2000,526,"total_recreational_catch_n","n","THRESHER SHARK"
"230",2002,5054,"total_recreational_catch_n","n","THRESHER SHARK"
"231",2005,170,"total_recreational_catch_n","n","THRESHER SHARK"
"232",2006,4504,"total_recreational_catch_n","n","THRESHER SHARK"
"233",2007,4656,"total_recreational_catch_n","n","THRESHER SHARK"
"234",2008,1217,"total_recreational_catch_n","n","THRESHER SHARK"
"235",2009,9878,"total_recreational_catch_n","n","THRESHER SHARK"
"236",2010,1005,"total_recreational_catch_n","n","THRESHER SHARK"
"237",2014,9626,"total_recreational_catch_n","n","THRESHER SHARK"
"238",2015,41800,"total_recreational_catch_n","n","THRESHER SHARK"
"239",2016,11114,"total_recreational_catch_n","n","THRESHER SHARK"
"240",2017,11280,"total_recreational_catch_n","n","THRESHER SHARK"
"241",2018,4475,"total_recreational_catch_n","n","THRESHER SHARK"
"242",2019,9196,"total_recreational_catch_n","n","THRESHER SHARK"
"243",2020,1546,"total_recreational_catch_n","n","THRESHER SHARK"
"244",2021,404,"total_recreational_catch_n","n","THRESHER SHARK"
"245",2022,5811,"total_recreational_catch_n","n","THRESHER SHARK"
"246",2023,1135,"total_recreational_catch_n","n","THRESHER SHARK"
"247",2024,4642,"total_recreational_catch_n","n","THRESHER SHARK"
"248",1985,200,"total_recreational_catch_n","n","TIGER SHARK"
"249",1986,3093,"total_recreational_catch_n","n","TIGER SHARK"
"250",1989,485,"total_recreational_catch_n","n","TIGER SHARK"
"251",1990,501,"total_recreational_catch_n","n","TIGER SHARK"
"252",2015,1480,"total_recreational_catch_n","n","TIGER SHARK"
"253",1984,796,"total_recreational_catch_n","n","WHITE SHARK"
