"YEAR","DATA_VALUE","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
1981,9707,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1982,17981,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1983,10685,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1984,48135,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1985,30865,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1986,31219,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1987,39021,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1988,21603,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1989,10797,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1990,8357,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1991,2241,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1992,13789,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1993,21350,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1994,4096,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1995,43936,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1996,15405,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1997,4417,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1998,11685,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1999,2474,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2000,17370,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2001,4252,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2002,8909,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2003,9727,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2004,6826,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2006,12460,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2007,1129,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2008,1061,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2009,6317,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2010,6223,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2012,578,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2013,14831,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2014,38609,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2015,32475,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2016,25183,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2017,45851,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2018,648,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2019,3295,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2020,4385,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2021,448,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2022,327,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1989,10581,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SILKY SHARK","MID-ATLANTIC"
1983,455,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1986,1893,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1987,942,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1989,2245,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1990,501,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1991,5,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
2013,1678,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SMOOTH HAMMERHEAD","MID-ATLANTIC"
1985,506,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1986,2916,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1987,1755,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1989,5517,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1990,855,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1992,627,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1994,2127,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1996,2772,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1997,3677,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1999,10313,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2000,526,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2002,5054,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2005,170,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2006,4504,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2007,3660,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2008,653,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2009,9878,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2010,1005,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2014,9323,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2015,41800,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2016,11114,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2017,10966,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2018,4472,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2019,8190,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2020,1546,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2021,404,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2022,5368,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
2023,1135,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","THRESHER SHARK","MID-ATLANTIC"
1985,200,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
1986,3093,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
1989,485,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
1990,501,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
2015,1480,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","TIGER SHARK","MID-ATLANTIC"
1984,796,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","WHITE SHARK","MID-ATLANTIC"
